标题,视频链接,封面图链接,时长,发布时间
弟子职10則少者之事夜寐蚤作-邓石如篆书,//v.youku.com/v_show/id_XMzgxOTY3MjEzNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B977D37000001104107345D?x-oss-process=image/resize,w_500",06:32,2018-9-11 16:31
弟子职03極見善從之聞義則服-邓石如篆书,//v.youku.com/v_show/id_XMzgxOTY2MzM2NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B977C290000012FC8048049?x-oss-process=image/resize,w_500",10:07,2018-9-11 16:27
弟子职01弟子職先生施教弟子-邓石如篆书,//v.youku.com/v_show/id_XMzgxOTY1NzY5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B977AF00000017B6F05BE67?x-oss-process=image/resize,w_500",09:21,2018-9-11 16:22
鄧石如篆書示範挑弟子職的原因,//v.youku.com/v_show/id_XMzgxOTY1MTYxMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B977A12000001350009BB56?x-oss-process=image/resize,w_500",02:50,2018-9-11 16:18
歐陽詢九成宮《日日課》書法遠距教學心得,//v.youku.com/v_show/id_XMzgxODYyNTEyOA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B96563D0000012F970599E1?x-oss-process=image/resize,w_500",06:15,2018-9-10 19:32
鄧石如白氏草堂11離離不知其名四時壹色,//v.youku.com/v_show/id_XMzgwNTM0OTUzNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E62B000001095A06154B?x-oss-process=image/resize,w_500",07:51,2018-8-31 14:56
鄧石如白氏草堂10覆其上綠陰蒙蒙朱實,//v.youku.com/v_show/id_XMzgwNTM0OTI1Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E6390000016FCE086D80?x-oss-process=image/resize,w_500",07:17,2018-8-31 14:55
鄧石如白氏草堂07蔓駢織承翳日月光,//v.youku.com/v_show/id_XMzgwNTM0NTcyNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E5DD00000127080CA482?x-oss-process=image/resize,w_500",09:24,2018-8-31 14:55
鄧石如白氏草堂08不到地北據層巖積,//v.youku.com/v_show/id_XMzgwNTM0NTg1Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E5D80000016823060697?x-oss-process=image/resize,w_500",08:10,2018-8-31 14:54
鄧石如白氏草堂09石嵌空奇木異草蓋,//v.youku.com/v_show/id_XMzgwNTM0NjAzMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E5D00000015B120DE65B?x-oss-process=image/resize,w_500",06:01,2018-8-31 14:54
鄧石如白氏草堂06松下多灌叢蘿蔦葉,//v.youku.com/v_show/id_XMzgwNTM0MjM0MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E53F0000015FAB08FE0E?x-oss-process=image/resize,w_500",08:49,2018-8-31 14:52
鄧石如白氏草堂04戛雲低枝拂潭如橦,//v.youku.com/v_show/id_XMzgwNTM0MjI2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E54B00000156490D6AA6?x-oss-process=image/resize,w_500",09:32,2018-8-31 14:52
鄧石如白氏草堂05樹如蓋張如龍蛇走,//v.youku.com/v_show/id_XMzgwNTM0MjI1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E53C0000010E990195F9?x-oss-process=image/resize,w_500",07:16,2018-8-31 14:51
鄧石如白氏草堂03高不知幾百尺脩柯,//v.youku.com/v_show/id_XMzgwNTMzODU1Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E4A4000001446907B5D2?x-oss-process=image/resize,w_500",08:17,2018-8-31 14:49
鄧石如白氏草堂01南抵石澗夾澗有古,//v.youku.com/v_show/id_XMzgwNTMzODUxNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E49A000001208D06A8B4?x-oss-process=image/resize,w_500",07:30,2018-8-31 14:49
鄧石如白氏草堂02松老杉大僅十人圍,//v.youku.com/v_show/id_XMzgwNTMzODUxMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88E4A500000133ED0E30C6?x-oss-process=image/resize,w_500",06:52,2018-8-31 14:49
鄧石如白氏草堂05口形和接筆法,//v.youku.com/v_show/id_XMzgwNTEzOTQ2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88C371E5D50C1AC20AB48E?x-oss-process=image/resize,w_500",14:01,2018-8-31 12:26
鄧石如白氏草堂04對稱寫法和寶蓋頭,//v.youku.com/v_show/id_XMzgwNTEzODk4OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88BFEE0000017FC60842B0?x-oss-process=image/resize,w_500",06:38,2018-8-31 12:12
鄧石如白氏草堂08密不容針法,//v.youku.com/v_show/id_XMzgwNTE0MTkyNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88C7D4AD86941AC208036F?x-oss-process=image/resize,w_500",04:28,2018-8-31 12:11
鄧石如白氏草堂07外形長寬比,//v.youku.com/v_show/id_XMzgwNTE0MDk4NA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B88BFC400000150020A6386?x-oss-process=image/resize,w_500",03:54,2018-8-31 12:11
鄧石如白氏草堂06絞鋒的筆法,//v.youku.com/v_show/id_XMzgwNTEzOTY3Ng==.html?playMode=pugv,"https://m.ykimg.com/054F04085B88BF9B0000017D02098E80?x-oss-process=image/resize,w_500",05:20,2018-8-31 12:10
鄧石如白氏草堂02豎畫寫法,//v.youku.com/v_show/id_XMzgwNTEzNjcwOA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88BF620000010F140C8CB2?x-oss-process=image/resize,w_500",06:18,2018-8-31 12:09
鄧石如白氏草堂01篆書介紹,//v.youku.com/v_show/id_XMzgwNTEzNjY2OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B88BF490000016E47028EBA?x-oss-process=image/resize,w_500",04:34,2018-8-31 12:09
鄧石如白氏草堂03橫畫寫法,//v.youku.com/v_show/id_XMzgwNTEzNjcxNg==.html?playMode=pugv,"https://m.ykimg.com/054F04085B88BF4A0000017B0E0B7573?x-oss-process=image/resize,w_500",05:08,2018-8-31 12:09
皇甫诞碑20升阶纳陛弁转疑星右通广内左达承明既集坟典亦聚群英,//v.youku.com/v_show/id_XMzc2NTc2ODUwOA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B6401190000017978001601?x-oss-process=image/resize,w_500",12:08,2018-8-6 11:28
皇甫诞碑19图写禽兽画彩仙灵丙舍傍启甲帐对楹肆筵设席鼓瑟吹笙,//v.youku.com/v_show/id_XMzc2MTM3MzU2NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B6400D400000167800EFD70?x-oss-process=image/resize,w_500",11:27,2018-8-3 15:39
皇甫诞碑18都邑华夏东西二京背邙面洛浮渭据泾宫殿盘郁楼观飞惊,//v.youku.com/v_show/id_XMzc2MTM3MDc5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B640071000001050608BF17?x-oss-process=image/resize,w_500",11:32,2018-8-3 15:37
皇甫诞碑05吊民伐罪周发殷汤坐朝问道垂拱平章爱育黎首臣伏戎羌,//v.youku.com/v_show/id_XMzc2MTM2MTI2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B6400750000016ED40BB1D1?x-oss-process=image/resize,w_500",10:44,2018-8-3 15:37
皇甫诞碑03剑号巨阙珠称夜光果珍李柰菜重芥姜海咸河淡鳞潜羽翔,//v.youku.com/v_show/id_XMzc2MTM2MTI4OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B63FF320000015FF708C6F0?x-oss-process=image/resize,w_500",12:11,2018-8-3 15:34
皇甫诞碑07盖此身发四大五常恭惟鞠养岂敢毁伤女慕贞洁男效才良,//v.youku.com/v_show/id_XMzc2MTM2MTI4NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B63FF2F0000016F600C3608?x-oss-process=image/resize,w_500",11:17,2018-8-3 15:34
皇甫誕碑39布射僚丸嵇琴阮嘯恬筆倫紙鈞巧任釣釋紛利俗並皆佳妙,//v.youku.com/v_show/id_XMzc1NzM3ODYzNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61342B00000179B30A8019?x-oss-process=image/resize,w_500",10:21,2018-8-1 13:39
皇甫誕碑40毛施淑姿工顰妍笑年矢每催曦暉朗曜璇璣懸斡晦魄環照,//v.youku.com/v_show/id_XMzc1NzM4MDUyOA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61345600000175870296B2?x-oss-process=image/resize,w_500",11:23,2018-8-1 13:39
皇甫誕碑38骸垢想浴執熱願涼驢騾犢特駭躍超驤誅斬賊盜捕獲叛亡,//v.youku.com/v_show/id_XMzc1NzM3NjgwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B613434000001769F0D5D1D?x-oss-process=image/resize,w_500",12:23,2018-8-1 13:39
皇甫誕碑36晝眠夕寐藍筍象床弦歌酒宴接杯舉觴矯手頓足悅豫且康,//v.youku.com/v_show/id_XMzc1NzM3NDI5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61338C00000150040D4BBE?x-oss-process=image/resize,w_500",10:11,2018-8-1 13:35
皇甫誕碑35親戚故舊老少異糧妾御績紡侍巾帷房紈扇圓絜銀燭煒煌,//v.youku.com/v_show/id_XMzc1NzM3MDAyMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61335100000177A2021A3D?x-oss-process=image/resize,w_500",12:48,2018-8-1 13:34
皇甫誕碑33陳根委翳落葉飄搖游鶤獨運凌摩絳霄耽讀玩市寓目囊箱,//v.youku.com/v_show/id_XMzc1NzM2ODAxNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B6133160000013FEF0E859E?x-oss-process=image/resize,w_500",14:35,2018-8-1 13:33
皇甫誕碑34易輶攸畏屬耳垣牆具膳餐飯適口充腸飽飫烹宰饑厭糟糠,//v.youku.com/v_show/id_XMzc1NzM2ODUxMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B6132EC0000011BEE05123D?x-oss-process=image/resize,w_500",12:37,2018-8-1 13:33
皇甫誕碑32欣奏累遣戚謝歡招渠荷的歷園莽抽條枇杷晚翠梧桐早凋,//v.youku.com/v_show/id_XMzc1NzM2NDYwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61324D00000173F00883C5?x-oss-process=image/resize,w_500",11:59,2018-8-1 13:32
皇甫誕碑31兩疏見機解組誰逼索居閒處沉默寂寥求古尋論散慮逍遙,//v.youku.com/v_show/id_XMzc1NzM2MzI4OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61321F0000017EC305905F?x-oss-process=image/resize,w_500",11:11,2018-8-1 13:29
皇甫誕碑30貽厥嘉猷勉其祗植省躬譏誡寵增抗極殆辱近恥林皋幸即,//v.youku.com/v_show/id_XMzc1NzM2Mjk2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61320C000001787D0B66B5?x-oss-process=image/resize,w_500",11:14,2018-8-1 13:29
皇甫誕碑29孟軻敦素史魚秉直庶幾中庸勞謙謹敕聆音察理鑒貌辨色,//v.youku.com/v_show/id_XMzc1NzM1NzY2NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61319400000111790E7BAB?x-oss-process=image/resize,w_500",12:21,2018-8-1 13:29
皇甫誕碑28治本於農務資稼穡俶載南畝我藝黍稷稅熟貢新勸賞黜陟,//v.youku.com/v_show/id_XMzc1NzM1NzY2OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61316600000156140AF598?x-oss-process=image/resize,w_500",11:55,2018-8-1 13:28
皇甫誕碑27雁門紫塞雞田赤城昆池碣石巨野洞庭曠遠綿邈岩岫杳冥,//v.youku.com/v_show/id_XMzc1NzM1NzQzNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61315A0000010DF2077867?x-oss-process=image/resize,w_500",12:34,2018-8-1 13:27
皇甫誕碑26宣威沙漠馳譽丹青九州禹跡百郡秦并嶽宗泰岱禪主云亭,//v.youku.com/v_show/id_XMzc1NzM1MTUwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B61308D0000013419056ABD?x-oss-process=image/resize,w_500",10:28,2018-8-1 13:27
皇甫誕碑25假途滅虢踐土會盟何遵約法韓弊煩刑起翦頗牧用軍最精,//v.youku.com/v_show/id_XMzc1NzM1MTI1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B6130940000015354081AAE?x-oss-process=image/resize,w_500",12:51,2018-8-1 13:25
皇甫誕碑24綺回漢惠說感武丁俊乂密勿多士寔寧晉楚更霸趙魏困橫,//v.youku.com/v_show/id_XMzc1NzM1MDczMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B6130910000016E5908DE8C?x-oss-process=image/resize,w_500",11:58,2018-8-1 13:23
皇甫誕碑22高冠陪輦驅轂振纓世祿侈富車駕肥輕策功茂實勒碑刻銘,//v.youku.com/v_show/id_XMzc1NzM0NDkxMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B612FCD000001350C0DE478?x-oss-process=image/resize,w_500",12:11,2018-8-1 13:19
皇甫誕碑23磻溪伊尹佐時阿衡奄宅曲阜微旦孰營桓公匡合濟弱扶傾,//v.youku.com/v_show/id_XMzc1NzM0NDg4NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B612FBC0000015F8A059B87?x-oss-process=image/resize,w_500",10:52,2018-8-1 13:18
皇甫誕碑21杜稿鐘隸漆書壁經府羅將相路俠槐卿戶封八縣家給千兵,//v.youku.com/v_show/id_XMzc1NzM0NDkwOA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B612FAC000001736E0B389F?x-oss-process=image/resize,w_500",11:42,2018-8-1 13:18
皇甫誕碑13篤初誠美慎終宜令榮業所基籍甚無竟學優登仕攝職從政,//v.youku.com/v_show/id_XMzc1MjIxOTkwMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D62DF0000016A62010E35?x-oss-process=image/resize,w_500",12:04,2018-7-29 15:43
皇甫誕碑14存以甘棠去而益詠樂殊貴賤禮別尊卑上和下睦夫唱婦隨,//v.youku.com/v_show/id_XMzc1MjIyMDQwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D619F0000010B6C058676?x-oss-process=image/resize,w_500",09:54,2018-7-29 15:38
皇甫誕碑06遐邇壹體率賓歸王鳴鳳在樹白駒食場化被草木賴及萬方,//v.youku.com/v_show/id_XMzc1MjIwODg5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D61270000015CCC087F89?x-oss-process=image/resize,w_500",12:01,2018-7-29 15:38
皇甫誕碑15外受傅訓入奉母儀諸姑伯叔猶子比兒孔懷兄弟同氣連枝,//v.youku.com/v_show/id_XMzc1MjIyMjQ0OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D62030000010C090BCC5C?x-oss-process=image/resize,w_500",09:38,2018-7-29 15:38
皇甫誕碑10空谷傳聲虛堂習聽禍因惡積福緣善慶尺璧非寶寸陰是競,//v.youku.com/v_show/id_XMzc1MjIxNjIyMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D611B00000157D2082728?x-oss-process=image/resize,w_500",12:34,2018-7-29 15:37
皇甫誕碑08知過必改得能莫忘罔談彼短靡恃己長信使可覆器欲難量,//v.youku.com/v_show/id_XMzc1MjIxMjQyMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D6075000001586009BFF9?x-oss-process=image/resize,w_500",13:03,2018-7-29 15:35
皇甫誕碑04龍師火帝鳥官人皇始製文字乃服衣裳推位讓國有虞陶唐,//v.youku.com/v_show/id_XMzc1MjIwNTE2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D5F43000001311A05D84F?x-oss-process=image/resize,w_500",11:42,2018-7-29 15:33
皇甫誕碑02閏餘成歲律呂調陽雲騰致雨露結為霜金生麗水玉出昆岡,//v.youku.com/v_show/id_XMzc1MjIwMTc2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D5EE40000016D6A0C41E0?x-oss-process=image/resize,w_500",13:49,2018-7-29 15:33
皇甫誕碑01天地玄黃宇宙洪荒日月盈昃辰宿列張寒來暑往秋收冬藏,//v.youku.com/v_show/id_XMzc1MjIwMTY1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D5EA90000016CDB0EF0B3?x-oss-process=image/resize,w_500",09:54,2018-7-29 15:31
皇甫誕碑12似蘭斯馨如松之盛川流不息淵澄取映容止若思言辭安定,//v.youku.com/v_show/id_XMzc1MjIxOTUwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B5D629E0000011D3504C4F9?x-oss-process=image/resize,w_500",10:37,2018-7-29 14:51
皇甫誕碑193橫古樹雲銷喬松敬194銘盛德永播笙鏞,//v.youku.com/v_show/id_XMzcxNjUyNTA3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B4578568B3D4D1AC2065B89?x-oss-process=image/resize,w_500",06:48,2018-7-11 11:24
皇甫誕碑195銀青光祿大夫歐196陽詢書,//v.youku.com/v_show/id_XMzcxNjUyNzQyMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B4578558B3D4D1AC20BC73B?x-oss-process=image/resize,w_500",04:06,2018-7-11 11:24
皇甫誕碑版本的挑選注意事項,//v.youku.com/v_show/id_XMzcxNjUyNzU3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B457784ADB5971AC20A1586?x-oss-process=image/resize,w_500",03:39,2018-7-11 11:20
皇甫誕碑189效節夷吾盡忠命屯190道著身歿名隆牛亭,//v.youku.com/v_show/id_XMzcxNjUyMjY2NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B457780ADB5971AC2082127?x-oss-process=image/resize,w_500",07:37,2018-7-11 11:20
皇甫誕碑187草災生剪桐成師188構難太叔興戎建德,//v.youku.com/v_show/id_XMzcxNjUyMjY1Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B45777FAD86941AC20D4D8E?x-oss-process=image/resize,w_500",07:03,2018-7-11 11:20
皇甫誕碑191始卜馬獦初封翠碑192刻鳳丹旆圖龍煙,//v.youku.com/v_show/id_XMzcxNjUyMjY3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B45777DAD86941AC200C8D4?x-oss-process=image/resize,w_500",08:21,2018-7-11 11:20
皇甫誕碑185臺輟務晉陽就職望186重府朝譽聞宸極亂,//v.youku.com/v_show/id_XMzcxNjUxNjk2NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B457779AD86941AC2004B64?x-oss-process=image/resize,w_500",08:10,2018-7-11 11:20
皇甫誕碑183星裂土建侯開國輔184藉正人相資懿德中,//v.youku.com/v_show/id_XMzcxNjUxNjk3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B457776AD86941AC20C8C08?x-oss-process=image/resize,w_500",08:02,2018-7-11 11:20
皇甫誕碑181馳碣石聲高建禮珥182筆憲台握蘭文陛分,//v.youku.com/v_show/id_XMzcxNjUxNjk2OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B457775AD86941AC2010270?x-oss-process=image/resize,w_500",08:20,2018-7-11 11:20
皇甫誕碑179伏180奏青蒲曳裾朱邸名,//v.youku.com/v_show/id_XMzcwNTIwMjQ4OA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3D86130000011742042EC5?x-oss-process=image/resize,w_500",06:15,2018-7-5 10:47
皇甫誕碑175門承積慶世挺偉人176夜光愧寶朝采慚珍,//v.youku.com/v_show/id_XMzcwNTE5OTEwOA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3D85FE00000142FE02043F?x-oss-process=image/resize,w_500",07:39,2018-7-5 10:47
皇甫誕碑173逢時翼主膺期佐帝174運榮經綸執鈞匡濟,//v.youku.com/v_show/id_XMzcwNTE5ODM3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B3D8696AD86941AC20D9D92?x-oss-process=image/resize,w_500",08:09,2018-7-5 10:46
皇甫誕碑177雲中比陸日下方荀178抑揚元伏奏,//v.youku.com/v_show/id_XMzcwNTE5OTI2MA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3D85EC0000012CF10B4E66?x-oss-process=image/resize,w_500",06:43,2018-7-5 10:46
皇甫誕碑169之碑魏君歎之以不170朽乃為銘曰殷后華,//v.youku.com/v_show/id_XMzcwNTE5NTE5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3D857300000104EF0CD1D3?x-oss-process=image/resize,w_500",06:13,2018-7-5 10:43
皇甫誕碑167芳烈庶葛亮之隴鍾168莊禁之以樵蘇賈逵,//v.youku.com/v_show/id_XMzcwNTE5NTEyNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B55AEFEAD86941AC208EEF0?x-oss-process=image/resize,w_500",07:45,2018-7-5 10:43
皇甫誕碑161部尚書上柱國滑國162公無逸以爲邢仲之,//v.youku.com/v_show/id_XMzcwNTE5MTY2OA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3D84F80000015D9B0186E3?x-oss-process=image/resize,w_500",06:41,2018-7-5 10:42
皇甫誕碑163下之平164陵之東誰知子孟之,//v.youku.com/v_show/id_XMzcwNTE5MjQwMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B3D8580ADA4C71AC203FCF1?x-oss-process=image/resize,w_500",05:14,2018-7-5 10:42
皇甫誕碑155府可謂雅俗冠156冕時雄者也方當亮,//v.youku.com/v_show/id_XMzcwNTE4NzQzMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B3D857AADA4C71AC20E4070?x-oss-process=image/resize,w_500",08:28,2018-7-5 10:42
皇甫誕碑153命輕於鴻毛齊大小154於沖襟混寵辱於靈,//v.youku.com/v_show/id_XMzcwNTE4NTE2MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B3D8545ADB5971AC204AC14?x-oss-process=image/resize,w_500",09:24,2018-7-5 10:41
皇甫誕碑145枝葉踐其隩隅譬越146箭達犀餘之以括羽,//v.youku.com/v_show/id_XMzcwNTE3ODQyOA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3D837B0000010BF6098867?x-oss-process=image/resize,w_500",09:01,2018-7-5 10:38
九成宮遠距教學視頻批改計畫,//v.youku.com/v_show/id_XMzY5ODMyOTMyNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B38CBD6ADB5971AC20AFFF0?x-oss-process=image/resize,w_500",04:05,2018-7-1 20:40
皇甫誕碑139成性夙表白虹之珍140黼黻爲文幼挺雕龍,//v.youku.com/v_show/id_XMzY5NzM0MTk2OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B3838A3E5D50C1AC20390E4?x-oss-process=image/resize,w_500",07:26,2018-7-1 10:12
皇甫誕碑129從運往春秋五十有130一萬機起殲良之歎,//v.youku.com/v_show/id_XMzY5NzMzNTY4OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B3837E1E5D50C1AC20B3F06?x-oss-process=image/resize,w_500",08:26,2018-7-1 10:09
皇甫誕碑127勃之榮反被王悍之128災仁壽四年九月溘,//v.youku.com/v_show/id_XMzY5NzMzMzkxMg==.html?playMode=pugv,"https://m.ykimg.com/054F04085B3836D200000131220489C8?x-oss-process=image/resize,w_500",06:39,2018-7-1 10:06
皇甫誕碑117公贊務大邦聲名藉118甚精民感化黠吏畏,//v.youku.com/v_show/id_XMzY5NzMyNjYwMA==.html?playMode=pugv,"https://m.ykimg.com/054F04085B383615000001792006E624?x-oss-process=image/resize,w_500",09:09,2018-7-1 10:05
皇甫誕碑099則貫微幽顯雖高曾100之至性何以加焉尋,//v.youku.com/v_show/id_XMzY4OTI2NjAxNg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F4B9E5D50C1AC20D80C4?x-oss-process=image/resize,w_500",08:25,2018-6-27 10:21
皇甫誕碑097路行客以之輟歌孝098德則師範彜倫精誠,//v.youku.com/v_show/id_XMzY4OTI2MzkzMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F4B7E5D50C1AC20469DD?x-oss-process=image/resize,w_500",09:36,2018-6-27 10:21
皇甫誕碑095憂去職哀慟裏閭鄰096人爲之罷社悲感衢,//v.youku.com/v_show/id_XMzY4OTI2MzA4OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F4B3E5D50C1AC2055B05?x-oss-process=image/resize,w_500",08:08,2018-6-27 10:21
皇甫誕碑093政術深曉治方臧否094自分條目鹹理丁母,//v.youku.com/v_show/id_XMzY4OTI2MTk3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F3BCADC05D1AC20A8AD3?x-oss-process=image/resize,w_500",06:29,2018-6-27 10:16
皇甫誕碑089相濟比於公之無冤090但禮闈務殷樞轄寄,//v.youku.com/v_show/id_XMzY4OTI1ODYwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F38DADB5971AC2018954?x-oss-process=image/resize,w_500",07:28,2018-6-27 10:16
皇甫誕碑091重允膺此職實難其092人授尚書右丞洞明,//v.youku.com/v_show/id_XMzY4OTI1ODgwMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F389E5D50C1AC206B894?x-oss-process=image/resize,w_500",07:25,2018-6-27 10:16
皇甫誕碑087理少卿公巨細必察088同張季之聽理寬猛,//v.youku.com/v_show/id_XMzY4OTI1NjM2NA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F387E5D50C1AC2018ACB?x-oss-process=image/resize,w_500",07:00,2018-6-27 10:16
皇甫誕碑083絕權豪霜簡直繩俗084寢貪競隨文帝求衣,//v.youku.com/v_show/id_XMzY4OTI1MjY0OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F384ADB5971AC205FA85?x-oss-process=image/resize,w_500",09:00,2018-6-27 10:16
皇甫誕碑085待旦志在恤刑咒網086泣辜情存緩獄授大,//v.youku.com/v_show/id_XMzY4OTI1MzEyMA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F382E5D50C1AC20216C4?x-oss-process=image/resize,w_500",07:13,2018-6-27 10:16
皇甫誕碑081譽重周行俄遷治書082侍禦史彈違糾慝時,//v.youku.com/v_show/id_XMzY4OTI1MTQ4MA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F381AD86941AC2058D94?x-oss-process=image/resize,w_500",08:53,2018-6-27 10:16
皇甫誕碑079刑部侍郎趨步紫庭080光映朝列折旋丹地,//v.youku.com/v_show/id_XMzY4OTI0OTM3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F36FADA4C71AC2056A3E?x-oss-process=image/resize,w_500",07:39,2018-6-27 10:16
皇甫誕碑077古方今彼此一也尋078除尚書比部侍郎轉,//v.youku.com/v_show/id_XMzY4OTI0ODI3Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F357ADC05D1AC2024F51?x-oss-process=image/resize,w_500",06:58,2018-6-27 10:15
皇甫誕碑073昔梁孝開國首辟鄒074陽燕昭建邦肇徵郭,//v.youku.com/v_show/id_XMzY4OTI0NTYzMg==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F3558B3D4D1AC204B7BD?x-oss-process=image/resize,w_500",08:52,2018-6-27 10:15
皇甫誕碑075隗故得馳令問於碣076館播芳猷於平臺以,//v.youku.com/v_show/id_XMzY4OTI0NTY2OA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F1F8E5D50C1AC2076E26?x-oss-process=image/resize,w_500",07:59,2018-6-27 10:10
皇甫誕碑069處維城寄深磐石建070旟玉壘作鎮銅梁妙,//v.youku.com/v_show/id_XMzY4OTIzOTcwNA==.html?playMode=pugv,"https://m.ykimg.com/054F06015B32F211ADC05D1AC20C4EC4?x-oss-process=image/resize,w_500",09:49,2018-6-27 10:08
